set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-17T05:25:00,0,63425.47,30.292,7.0,5.0,-0.0012,0.0022,-0.6453,0.0,12.15,2.0862,0.7122,56.1207,131.88,39.8054,50.88,10.5459,adv,fav,-4.79,-24.31,-37.74,6.41,69.74
primary,2026-08-17T07:00:00,0,63546.9,30.693,7.0,7.0,-0.0012,-0.0013,0.1147,0.0,13.05,2.2024,1.761,51.585,-0.93,5.1032,131.61,58.0677,adv,adv,-20.21,-13.84,-56.66,-62.66,-125.79
primary,2026-08-17T11:50:00,1,63579.81,30.586,7.0,11.0,-0.0013,-0.001,-0.1389,0.0,15.97,2.4337,1.044,55.4586,38.64,17.6037,126.81,44.6839,adv,adv,-20.4,-28.7,-19.3,-37.21,-88.55
primary,2026-08-17T13:15:00,0,63425.52,30.268,7.0,13.0,-0.0011,-0.0014,-0.39,0.0,16.965,2.4006,0.3524,63.7893,301.78,22.0169,68.13,4.7805,adv,adv,-16.64,-56.6,234.15,212.3,167.91
primary,2026-08-17T14:35:00,1,63564.25,30.108,7.0,14.0,-0.0015,-0.0002,-0.3942,0.0,18.635,1.4706,0.4721,113.2493,487.14,57.637,35.09,1.7566,fav,fav,-38.89,-19.52,155.34,316.55,421.49
primary,2026-08-17T16:40:00,1,64033.96,30.864,7.0,16.0,-0.0013,-0.0007,-0.2027,0.0,20.58,1.7955,0.5022,80.2064,340.73,37.6143,118.43,31.0834,fav,adv,-3.27,22.51,23.21,-97.7,181.01
primary,2026-08-17T18:30:00,1,64394.44,30.445,7.0,18.0,-0.0013,-0.0002,0.4719,0.0,22.27,1.7094,3.4498,110.185,47.8,0.7373,136.5,28.3642,adv,adv,16.75,-5.38,17.87,-109.37,-107.48
primary,2026-08-18T01:50:00,0,64137.66,30.018,7.0,1.0,-0.001,,0.3691,0.5883,21.695,3.8109,0.9223,51.8464,81.09,10.1261,172.59,53.1036,adv,fav,-38.94,-16.86,36.05,-25.03,-123.77
primary,2026-08-18T04:00:00,0,64056.44,30.618,7.0,4.0,-0.0011,-0.0005,0.2841,0.0,21.585,1.2549,1.513,54.6,129.87,31.2522,16.54,0.1973,fav,fav,-5.92,-3.99,12.26,95.39,77.25
primary,2026-08-18T06:45:00,1,64267.28,31.068,7.0,6.0,-0.0017,0.0009,0.0039,0.0,21.735,2.0151,2.7021,62.8543,30.13,28.6018,161.99,59.5516,adv,adv,-2.27,-48.68,-24.58,-13.88,-132.1
primary,2026-08-18T07:45:00,0,64148.63,30.27,7.0,7.0,-0.0009,0.0002,0.1288,0.0,21.755,2.8627,0.7489,53.195,125.09,48.7364,129.97,17.7802,adv,adv,-36.99,-45.31,-59.74,21.02,39.47
primary,2026-08-18T13:50:00,1,64087.5,30.94,7.0,13.0,-0.0016,-0.0004,-0.2193,0.0157,21.16,1.8181,1.6034,79.045,926.22,35.5544,27.0,0.2363,fav,fav,19.81,71.57,112.54,624.95,588.14
primary,2026-08-18T15:05:00,1,64624.74,30.322,7.0,15.0,-0.0017,0.0015,-0.25,0.0,21.215,2.5098,2.8221,156.3786,226.32,37.9994,31.41,0.3582,fav,fav,34.09,71.59,106.04,160.01,78.95
primary,2026-08-18T16:05:00,0,64715.69,30.895,7.0,16.0,-0.0011,0.0005,0.1055,0.023,21.215,1.6112,1.379,86.1914,111.02,37.9149,90.46,21.0666,adv,adv,-17.39,-17.22,-34.02,32.21,15.62
primary,2026-08-18T20:00:00,0,64558.13,30.854,7.0,20.0,-0.0009,-0.0017,0.4361,0.1814,19.285,5.3372,0.2941,39.7157,56.83,9.0525,46.68,46.5966,fav,fav,-1.19,28.22,24.23,18.28,8.65
