entry_time_utc,kind,dir,entry,sl,tp,stop_dist,age_min,exit_time_utc,exit,why,pnl_002,R,month
2025-02-27T21:35:01,cont,BUY,84314.86,83787.61,84736.66,527.25,44.0,2025-02-27T23:22:02,84736.66,tp,8.436,0.8,2025-02
2025-02-27T23:23:01,flip,BUY,84762.99,84382.78,85067.16,380.21,0.0,2025-02-28T00:48:20,84380.19,sl,-7.656,-1.0068,2025-02
2025-02-28T00:49:01,flip,SELL,84287.26,84624.56,84017.42,337.3,0.0,2025-02-28T01:23:04,84017.42,tp,5.3968,0.8,2025-02
2025-02-28T02:33:01,cont,SELL,80750.4,82910.87,79022.02,2160.47,104.0,2025-02-28T06:46:55,79022.02,tp,34.5675,0.8,2025-02
2025-02-28T11:41:01,flip,BUY,80714.05,79559.63,81637.59,1154.42,0.0,2025-02-28T13:36:35,81637.59,tp,18.4707,0.8,2025-02
2025-02-28T13:37:01,cont,BUY,81613.66,80623.98,82405.4,989.68,116.0,2025-02-28T14:42:40,82405.4,tp,15.8349,0.8,2025-02
2025-02-28T14:56:01,flip,SELL,81958.35,82185.77,81776.41,227.42,0.0,2025-02-28T14:59:34,82193.71,sl,-4.7072,-1.0349,2025-02
2025-02-28T15:07:01,flip,BUY,82761.43,82189.66,83218.85,571.77,0.0,2025-02-28T15:11:17,83218.85,tp,9.1483,0.8,2025-02
2025-02-28T16:39:01,cont,BUY,84608.33,83575.86,85434.31,1032.47,92.0,2025-02-28T18:19:07,83572.33,sl,-20.72,-1.0034,2025-02
2025-03-01T03:07:01,flip,SELL,85080.57,85385.16,84836.9,304.59,0.0,2025-03-01T03:35:46,85390.14,sl,-6.1914,-1.0163,2025-03
2025-03-01T04:10:01,flip,BUY,85620.57,85131.69,86011.67,488.88,0.0,2025-03-01T04:20:55,86011.67,tp,7.8221,0.8,2025-03
2025-03-01T07:39:01,flip,SELL,84788.73,85113.86,84528.63,325.13,0.0,2025-03-01T08:16:01,85115.41,sl,-6.5336,-1.0048,2025-03
2025-03-01T08:56:01,flip,BUY,85338.52,85077.14,85547.62,261.38,0.0,2025-03-01T09:19:39,85547.62,tp,4.1821,0.8,2025-03
2025-03-01T10:06:01,flip,SELL,85141.31,85498.58,84855.49,357.27,0.0,2025-03-01T10:56:39,84855.49,tp,5.7163,0.8,2025-03
2025-03-01T16:40:01,flip,BUY,85133.18,84927.37,85297.83,205.81,0.0,2025-03-01T16:59:53,85297.83,tp,3.293,0.8,2025-03
2025-03-01T17:47:01,cont,BUY,85339.51,84966.38,85638.01,373.13,67.0,2025-03-01T20:22:45,85638.01,tp,5.9701,0.8,2025-03
2025-03-02T02:25:01,flip,SELL,86176.85,86394.8,86002.49,217.95,0.0,2025-03-02T02:30:30,86002.49,tp,3.4872,0.8,2025-03
2025-03-02T02:53:01,cont,SELL,85742.41,85952.69,85574.19,210.28,28.0,2025-03-02T03:04:38,85952.9,sl,-4.2098,-1.001,2025-03
2025-03-02T03:49:01,flip,BUY,86159.9,85778.94,86464.67,380.96,0.0,2025-03-02T04:02:48,85775.15,sl,-7.695,-1.0099,2025-03
2025-03-02T04:19:01,flip,SELL,85695.55,85788.33,85621.33,92.78,0.0,2025-03-02T04:22:44,85621.33,tp,1.4845,0.8,2025-03
2025-03-02T05:14:01,flip,BUY,85900.97,85655.27,86097.53,245.7,0.0,2025-03-02T06:04:00,86097.53,tp,3.9312,0.8,2025-03
2025-03-02T06:05:01,cont,BUY,86123.71,85849.07,86343.42,274.64,51.0,2025-03-02T06:29:29,86343.42,tp,4.3942,0.8,2025-03
2025-03-02T13:21:01,flip,SELL,85680.09,86258.71,85217.19,578.62,0.0,2025-03-02T14:18:42,85217.19,tp,9.2579,0.8,2025-03
2025-03-02T16:17:01,flip,BUY,88832.43,87040.95,90265.61,1791.48,0.0,2025-03-02T16:35:53,90265.61,tp,28.6637,0.8,2025-03
2025-03-02T16:36:01,cont,BUY,90237.87,88874.22,91328.79,1363.65,19.0,2025-03-02T16:39:21,91328.79,tp,21.8184,0.8,2025-03
2025-03-02T17:18:01,cont,BUY,92254.97,90764.15,93447.63,1490.82,61.0,2025-03-02T17:32:10,93447.63,tp,23.8531,0.8,2025-03
2025-03-03T06:52:01,flip,SELL,91738.08,92303.53,91285.72,565.45,0.0,2025-03-03T07:03:03,91285.72,tp,9.0472,0.8,2025-03
2025-03-03T07:12:01,flip,BUY,91846.22,91404.64,92199.48,441.58,0.0,2025-03-03T07:37:57,92199.48,tp,7.0653,0.8,2025-03
2025-03-03T07:40:01,cont,BUY,92247.45,91897.37,92527.51,350.08,28.0,2025-03-03T07:55:29,92527.51,tp,5.6013,0.8,2025-03
2025-03-03T08:49:01,flip,SELL,91606.06,92206.35,91125.83,600.29,0.0,2025-03-03T08:57:46,91125.83,tp,9.6046,0.8,2025-03
2025-03-03T09:01:01,cont,SELL,91229.89,91470.08,91037.74,240.19,12.0,2025-03-03T09:03:23,91481.54,sl,-5.033,-1.0477,2025-03
2025-03-03T09:11:01,flip,BUY,91692.66,91402.18,91925.04,290.48,0.0,2025-03-03T09:15:56,91925.04,tp,4.6477,0.8,2025-03
2025-03-03T09:16:01,cont,BUY,91928.53,91609.45,92183.79,319.08,5.0,2025-03-03T09:19:40,91606.98,sl,-6.431,-1.0077,2025-03
2025-03-03T09:36:01,cont,BUY,91997.5,91291.49,92562.31,706.01,25.0,2025-03-03T10:58:54,92562.31,tp,11.2962,0.8,2025-03
2025-03-03T11:10:01,cont,BUY,92860.18,92432.42,93202.39,427.76,119.0,2025-03-03T12:03:43,93202.39,tp,6.8442,0.8,2025-03
2025-03-03T14:53:01,flip,SELL,90381.64,91546.25,89449.95,1164.61,0.0,2025-03-03T14:57:24,89449.95,tp,18.6338,0.8,2025-03
2025-03-03T21:16:01,flip,BUY,86495.57,85931.46,86946.86,564.11,0.0,2025-03-03T21:46:40,85929.68,sl,-11.3178,-1.0032,2025-03
2025-03-03T22:27:01,cont,BUY,86523.68,85034.04,87715.39,1489.64,71.0,2025-03-04T01:38:21,85026.63,sl,-29.941,-1.005,2025-03
2025-03-04T02:40:01,flip,BUY,83851.4,82919.68,84596.78,931.72,0.0,2025-03-04T05:07:00,84596.78,tp,14.9075,0.8,2025-03
2025-03-04T08:59:01,flip,BUY,83972.05,83400.2,84429.53,571.85,0.0,2025-03-04T11:12:23,84429.53,tp,9.1496,0.8,2025-03
2025-03-04T12:10:01,flip,SELL,83708.0,84178.09,83331.93,470.09,0.0,2025-03-04T12:25:17,83331.93,tp,7.5214,0.8,2025-03
2025-03-04T13:14:01,cont,SELL,83291.2,84007.2,82718.4,716.0,64.0,2025-03-04T13:22:47,82718.4,tp,11.456,0.8,2025-03
2025-03-04T17:46:01,flip,BUY,85477.63,84786.6,86030.45,691.03,0.0,2025-03-04T18:12:28,86030.45,tp,11.0565,0.8,2025-03
2025-03-04T18:52:01,cont,BUY,86321.98,85200.4,87219.24,1121.58,66.0,2025-03-04T19:03:16,87219.24,tp,17.9453,0.8,2025-03
2025-03-04T19:24:01,cont,BUY,88495.81,88018.19,88877.91,477.62,98.0,2025-03-04T19:27:19,88016.09,sl,-9.5944,-1.0044,2025-03
2025-03-04T19:32:01,flip,SELL,87679.57,88021.21,87406.26,341.64,0.0,2025-03-04T19:37:12,88025.41,sl,-6.9168,-1.0123,2025-03
2025-03-04T20:18:01,flip,BUY,88473.36,87918.08,88917.58,555.28,0.0,2025-03-04T20:33:26,87911.53,sl,-11.2366,-1.0118,2025-03
2025-03-04T20:51:01,flip,SELL,87665.38,88211.85,87228.2,546.47,0.0,2025-03-04T20:57:24,87228.2,tp,8.7435,0.8,2025-03
2025-03-04T20:58:01,cont,SELL,87055.61,87557.4,86654.18,501.79,7.0,2025-03-04T21:03:17,86654.18,tp,8.0286,0.8,2025-03
2025-03-05T12:20:01,flip,BUY,90633.46,89545.15,91504.11,1088.31,0.0,2025-03-05T13:25:01,89539.28,sl,-21.8836,-1.0054,2025-03
2025-03-05T13:44:01,cont,SELL,89297.42,90039.92,88703.42,742.5,29.0,2025-03-05T14:37:31,88703.42,tp,11.88,0.8,2025-03
2025-03-05T14:58:01,cont,SELL,88275.0,89772.8,87076.76,1497.8,103.0,2025-03-05T17:25:25,89773.15,sl,-29.963,-1.0002,2025-03
2025-03-06T00:22:01,flip,SELL,90441.71,90707.83,90228.81,266.12,0.0,2025-03-06T00:32:45,90228.81,tp,4.2579,0.8,2025-03
2025-03-06T00:43:01,cont,SELL,90096.13,90314.32,89921.58,218.19,21.0,2025-03-06T01:07:57,90314.55,sl,-4.3684,-1.0011,2025-03
2025-03-06T01:15:01,flip,BUY,90461.77,90173.04,90692.75,288.73,0.0,2025-03-06T01:32:16,90170.09,sl,-5.8336,-1.0102,2025-03
2025-03-06T01:44:01,cont,BUY,90663.83,90234.4,91007.37,429.43,29.0,2025-03-06T01:46:24,91007.37,tp,6.8709,0.8,2025-03
2025-03-06T02:51:01,cont,BUY,92087.55,90994.25,92962.19,1093.3,96.0,2025-03-06T09:05:49,90975.45,sl,-22.242,-1.0172,2025-03
2025-03-06T09:36:01,cont,SELL,90738.04,91075.04,90468.44,337.0,35.0,2025-03-06T10:15:32,91077.05,sl,-6.7802,-1.006,2025-03
2025-03-06T15:41:01,flip,BUY,91497.76,90531.57,92270.71,966.19,0.0,2025-03-06T16:22:15,90529.54,sl,-19.3644,-1.0021,2025-03
2025-03-06T16:54:01,flip,SELL,89827.63,90449.87,89329.84,622.24,0.0,2025-03-06T16:59:14,89329.84,tp,9.9558,0.8,2025-03
2025-03-06T17:18:01,cont,SELL,88530.09,89047.31,88116.31,517.22,24.0,2025-03-06T17:50:19,88116.31,tp,8.2755,0.8,2025-03
2025-03-06T17:51:01,cont,SELL,88125.81,88371.56,87929.21,245.75,57.0,2025-03-06T17:54:53,88375.1,sl,-4.9858,-1.0144,2025-03
2025-03-06T18:19:01,flip,BUY,88964.26,88428.65,89392.75,535.61,0.0,2025-03-06T18:30:19,88428.21,sl,-10.721,-1.0008,2025-03
2025-03-06T19:03:01,flip,SELL,88171.87,88624.43,87809.82,452.56,0.0,2025-03-06T19:42:09,88630.25,sl,-9.1676,-1.0129,2025-03
2025-03-06T21:09:01,flip,BUY,89390.12,88502.35,90100.34,887.77,0.0,2025-03-06T22:00:04,90100.34,tp,14.2043,0.8,2025-03
2025-03-07T00:14:01,flip,BUY,91199.56,89521.62,92541.91,1677.94,0.0,2025-03-07T00:15:26,89518.14,sl,-33.6284,-1.0021,2025-03
2025-03-07T00:47:01,flip,SELL,85532.89,86363.51,84868.39,830.62,0.0,2025-03-07T00:55:07,84868.39,tp,13.2899,0.8,2025-03
2025-03-07T01:15:01,flip,BUY,86501.94,86086.0,86834.69,415.94,0.0,2025-03-07T01:16:34,86834.69,tp,6.655,0.8,2025-03
2025-03-07T16:21:01,flip,SELL,88041.97,89271.83,87058.08,1229.86,0.0,2025-03-07T16:42:52,87058.08,tp,19.6778,0.8,2025-03
2025-03-07T16:52:01,cont,SELL,86790.72,87453.83,86260.23,663.11,31.0,2025-03-07T17:02:22,87457.39,sl,-13.3334,-1.0054,2025-03
2025-03-07T17:38:01,flip,BUY,87701.96,86513.35,88652.85,1188.61,0.0,2025-03-07T18:51:12,88652.85,tp,19.0178,0.8,2025-03
2025-03-07T18:52:01,cont,BUY,88611.57,87570.65,89444.31,1040.92,74.0,2025-03-07T19:45:33,87569.39,sl,-20.8436,-1.0012,2025-03
2025-03-07T20:38:01,flip,SELL,87107.96,88292.71,86160.16,1184.75,0.0,2025-03-07T20:52:42,88293.6,sl,-23.7128,-1.0008,2025-03
2025-03-07T20:57:01,cont,SELL,86786.27,88529.8,85391.45,1743.53,19.0,2025-03-08T01:33:35,85391.45,tp,27.8965,0.8,2025-03
2025-03-09T20:32:01,flip,BUY,83372.84,82381.06,84166.26,991.78,0.0,2025-03-09T21:17:07,82380.9,sl,-19.8388,-1.0002,2025-03
2025-03-09T22:13:01,flip,SELL,81474.11,82298.81,80814.35,824.7,0.0,2025-03-09T22:52:33,80814.35,tp,13.1952,0.8,2025-03
2025-03-10T02:35:01,flip,BUY,82562.06,82092.42,82937.77,469.64,0.0,2025-03-10T03:07:04,82081.75,sl,-9.6062,-1.0227,2025-03
2025-03-10T03:13:01,flip,SELL,81959.66,82135.95,81818.63,176.29,0.0,2025-03-10T03:26:00,81818.63,tp,2.8206,0.8,2025-03
2025-03-10T04:07:01,flip,BUY,82392.73,82031.97,82681.34,360.76,0.0,2025-03-10T05:00:25,82681.34,tp,5.7722,0.8,2025-03
2025-03-10T06:08:01,flip,SELL,82131.09,82378.26,81933.35,247.17,0.0,2025-03-10T06:18:36,82378.94,sl,-4.957,-1.0028,2025-03
