episode_end_utc,entry_utc,n_buckets,total_btc,long_btc,short_btc,q95,dir(-1=forced selling),atr14,cont1,cont5,cont15,cont30,cont60,rev1,rev5,rev15,rev30,rev60,mfe60,mae60,fp1atr,oi_chg_pct,taker_imb
2026-08-21T08:45:00,2026-08-21T08:45:00,1,88.256,0.0,88.256,24.18,1,176.16,98.11,274.6,1600.65,215.4,518.73,-122.11,-298.6,-1624.65,-239.4,-542.73,1886.48,401.44,favourable,0.267,-0.067
2026-08-21T09:05:00,2026-08-21T09:05:00,3,371.515,147.199,224.316,24.659,1,388.39,-94.21,-35.25,-291.06,28.98,-202.08,70.21,11.25,267.06,-52.98,178.08,516.12,613.28,adverse,-0.439,-0.261
2026-08-21T09:20:00,2026-08-21T09:20:00,1,26.4,26.08,0.32,25.846,-1,271.11,-196.22,-81.83,-332.04,-692.54,-667.74,172.22,57.83,308.04,668.54,643.74,29.42,795.18,adverse,,
2026-08-21T11:35:00,2026-08-21T11:35:00,1,109.034,109.034,0.0,26.123,-1,192.68,-338.56,-483.3,-221.31,-176.09,-196.04,314.56,459.3,197.31,152.09,172.04,12.81,610.71,adverse,-0.97,0.101
2026-08-21T13:40:00,2026-08-21T13:40:00,1,41.778,38.902,2.876,26.333,-1,213.64,-87.61,-338.33,-355.78,-24.97,102.09,63.61,314.33,331.78,0.97,-126.09,439.1,750.94,adverse,-1.104,0.125
2026-08-21T21:25:00,2026-08-21T21:25:00,1,35.859,0.2,35.659,26.206,1,129.1,-110.16,59.37,-23.71,610.87,493.72,86.16,-83.37,-0.29,-634.87,-517.72,743.35,121.53,favourable,0.011,0.083
2026-08-22T00:10:00,2026-08-22T00:10:00,1,28.248,28.248,0.0,26.263,-1,129.99,-126.17,-35.35,-197.37,-46.83,-197.3,102.17,11.35,173.37,22.83,173.3,220.24,250.31,adverse,-0.611,0.075
2026-08-22T05:15:00,2026-08-22T05:15:00,2,148.232,139.639,8.594,26.015,-1,262.41,-161.98,345.28,10.72,120.15,131.5,137.98,-369.28,-34.72,-144.15,-155.5,579.43,253.01,favourable,-0.017,-0.262
2026-08-23T05:10:00,2026-08-23T05:10:00,1,56.636,56.636,0.0,25.676,-1,122.23,-78.88,406.76,21.21,58.03,326.96,54.88,-430.76,-45.21,-82.03,-350.96,732.76,134.8,adverse,-0.117,-0.021
2026-08-23T05:20:00,2026-08-23T05:20:00,1,29.693,29.157,0.536,25.763,-1,190.91,-91.25,-233.33,-205.82,-128.01,-203.92,67.25,209.33,181.82,104.01,179.92,190.03,290.06,adverse,-2.531,0.245
