entry_time_utc,kind,dir,entry,sl,tp,risk_usd,exit_time_utc,exit,why,pnl
2026-08-06T16:53:01,flip,BUY,64713.23,64591.68,64810.47,2.43,2026-08-06T17:34:01,64590.64,sl,-2.45
2026-08-06T18:02:23,touch,SELL,64477.85,64595.25,64383.93,2.35,2026-08-06T18:35:39,64383.93,tp,1.88
2026-08-06T18:53:02,flip,SELL,64335.1,64395.12,64287.08,1.2,2026-08-06T19:01:33,64395.92,sl,-1.22
2026-08-06T19:30:10,touch,SELL,64322.3,64401.72,64258.76,1.59,2026-08-06T19:38:27,64403.4,sl,-1.62
2026-08-07T01:04:01,flip,BUY,64377.78,64173.7,64541.04,4.08,2026-08-07T04:45:25,64172.4,sl,-4.11
2026-08-07T04:46:02,flip,SELL,64164.36,64314.98,64043.86,3.01,2026-08-07T05:50:44,64315.1,sl,-3.01
2026-08-07T06:15:01,flip,BUY,64355.5,64247.35,64442.02,2.16,2026-08-07T06:47:50,64246.05,sl,-2.19
2026-08-07T06:48:01,flip,SELL,64271.16,64326.84,64226.62,1.11,2026-08-07T07:00:05,64226.62,tp,0.89
2026-08-07T07:00:06,touch,SELL,64233.14,64285.33,64191.39,1.04,2026-08-07T07:08:32,64286.43,sl,-1.07
2026-08-07T07:22:01,flip,BUY,64374.62,64274.78,64454.49,2.0,2026-08-07T07:57:05,64270.93,sl,-2.07
2026-08-07T08:18:14,touch,BUY,64389.81,64247.53,64503.63,2.85,2026-08-07T08:42:10,64503.63,tp,2.28
2026-08-07T08:42:11,touch,BUY,64536.59,64387.35,64655.98,2.98,2026-08-07T09:10:36,64655.98,tp,2.39
2026-08-07T09:21:49,touch,BUY,64736.96,64675.84,64785.86,1.22,2026-08-07T09:25:10,64785.86,tp,0.98
2026-08-07T17:00:01,flip,SELL,64753.35,65228.09,64373.56,9.49,2026-08-09T13:40:54,65230.63,sl,-9.55
2026-08-09T23:22:01,flip,SELL,64914.15,65058.86,64798.38,2.89,2026-08-09T23:56:24,64798.38,tp,2.32
2026-08-09T23:56:27,touch,SELL,64786.3,64894.01,64700.13,2.15,2026-08-10T00:05:46,64894.6,sl,-2.17
2026-08-10T07:33:01,flip,BUY,65277.67,64774.77,65679.99,10.06,2026-08-10T13:32:20,64772.86,sl,-10.1
2026-08-10T14:15:01,flip,BUY,64676.95,64545.36,64782.22,2.63,2026-08-10T14:35:22,64782.22,tp,2.11
