tb,time,src,era,kind,d,pnl,R,tpf,spread_med24,spread_over_range24,spread_over_atr,tp_over_spread,stop_over_spread,atr_over_price,rng60,rng360,rng1440,absret60,absret360,absret1440,sd60,sd360,sd1440,er60,er360,er1440,signac360,flips_per_day,bos_per_day,cont_per_flip,med_flip_gap_min,trend_age_min,flip_share20,own20_tpf,own50_tpf,own20_R,own50_R,own20_flip_R,own20_cont_R,mkt20_fwd5,mkt20_fwd15,mkt20_fwd30,mkt20_ge05
1767846360,2026-01-08T04:26:00,V2,DISC,cont,1,-11.066,-1.0005,0,12.6,0.25883,0.23043,35.1119,43.88968,6.00464,52.355,48.645,48.68,230.97818,1219.38639,5143.8819,4.88045,4.47953,5.0209,0.09224,0.00925,0.03468,-0.0585,5,13,1.6,56.0,83.0,0.55,0.45,0.44,-0.20056,-0.21763,-0.10806,-0.20301,0.03595,0.02693,-0.48656,0.1
1767852660,2026-01-08T06:11:00,V2,DISC,flip,-1,2.8083,0.8,1,12.6,0.25473,0.14738,11.14444,13.93016,9.46496,37.34,44.53,49.465,216.09581,1123.35724,5255.68579,5.56877,4.32585,5.10812,0.34829,0.07861,0.04808,-0.11978,6,14,1.33333,56.0,0.0,0.6,0.5,0.46,-0.11011,-0.1817,-0.10787,-0.20301,0.02553,0.02176,-0.49387,0.1
1767853020,2026-01-08T06:17:00,V2,DISC,cont,-1,3.0608,0.8,1,12.6,0.25314,0.11023,12.14603,15.18254,12.66838,41.11,45.005,49.775,244.14232,1142.52205,5285.9148,5.95889,4.3881,5.12688,0.34104,0.08484,0.05038,-0.11421,6,15,1.5,56.0,6.0,0.6,0.5,0.46,-0.11011,-0.1817,-0.10787,-0.20301,0.02553,0.02176,-0.49387,0.1
1767855000,2026-01-08T06:50:00,V2,DISC,cont,-1,3.8723,0.8,1,12.6,0.2505,0.2463,15.36667,19.20794,5.68138,56.39,46.335,50.3,301.25864,1210.01768,5363.32526,6.95753,4.65095,5.18846,0.27036,0.10873,0.05375,-0.08078,6,17,1.83333,56.0,39.0,0.55,0.5,0.46,-0.108,-0.18166,-0.10787,-0.29304,0.03158,0.07255,-0.26467,0.1
1767858420,2026-01-08T07:47:00,V2,DISC,flip,1,1.4205,0.8,1,12.6,0.2421,0.23033,5.63651,7.04603,6.05337,65.315,48.8,52.045,292.09833,1332.25318,5508.87126,7.61459,5.40782,5.38802,0.06835,0.07689,0.04806,-0.11421,7,19,1.71429,56.0,0.0,0.55,0.5,0.46,-0.108,-0.18166,-0.10787,-0.29304,-0.05671,-0.06126,-0.33423,0.05
1767859920,2026-01-08T08:12:00,V2,DISC,cont,1,2.659,0.8,1,12.6,0.24129,0.21276,10.55159,13.18968,6.54496,48.685,48.945,52.22,177.23996,1364.10958,5545.20751,3.84985,5.49851,5.4145,0.37078,0.06569,0.04684,-0.10306,7,20,1.85714,56.0,25.0,0.6,0.5,0.48,-0.108,-0.14543,-0.10787,-0.29304,-0.05671,-0.06126,-0.33423,0.05
1767864180,2026-01-08T09:23:00,V2,DISC,flip,-1,-6.619,-1.0014,0,12.6,0.23929,0.20801,20.98333,26.22937,6.73459,55.455,49.965,52.655,194.37879,1333.06405,5563.50726,4.12383,5.38477,5.37553,0.30308,0.08161,0.03935,-0.04735,8,23,1.875,96.0,0.0,0.55,0.55,0.5,-0.01709,-0.10893,-0.10787,-0.29304,-0.14773,-0.30365,-0.76135,0.05
1767872760,2026-01-08T11:46:00,V2,DISC,flip,-1,-4.6406,-1.0498,0,12.6,0.23828,0.18607,14.03333,17.54127,7.53153,44.855,51.3,52.88,227.05132,1402.46083,5622.96996,4.92167,5.59353,5.43777,0.13871,0.06999,0.04326,0.05292,10,27,1.7,72.0,0.0,0.6,0.6,0.5,0.0741,-0.10887,-0.10765,-0.20278,-0.11368,-0.0961,-0.49146,0.05
1767874080,2026-01-08T12:08:00,V2,DISC,cont,-1,5.0851,0.8,1,12.6,0.23828,0.24072,20.17937,25.22381,5.82676,44.855,51.675,52.88,241.35999,1397.3049,5646.50331,5.13824,5.47862,5.45188,0.1622,0.04001,0.04168,0.0585,10,28,1.8,72.0,22.0,0.6,0.6,0.5,0.0741,-0.10887,-0.10765,-0.20278,-0.11368,-0.0961,-0.49146,0.05
1767884760,2026-01-08T15:06:00,V2,DISC,flip,1,5.8341,0.8,1,12.6,0.23762,0.10004,23.15079,28.93889,13.98401,120.05,52.07,53.025,427.38242,1466.28284,5607.99995,10.36226,5.87525,5.4251,0.08418,0.01027,0.03249,-0.0585,11,32,1.90909,96.0,0.0,0.6,0.55,0.5,-0.01839,-0.10985,-0.10924,-0.11247,-0.08582,-0.10297,-0.43652,0.05
1767886860,2026-01-08T15:41:00,V2,DISC,cont,1,-6.0238,-1.0055,0,12.6,0.23762,0.11034,19.01825,23.77302,12.6107,126.185,55.56,53.025,437.3961,1552.76305,5523.37899,9.79664,6.16152,5.34164,0.2335,0.04794,0.0156,-0.0585,11,32,1.90909,96.0,35.0,0.6,0.55,0.5,-0.01839,-0.10985,-0.10924,-0.11247,-0.12974,-0.09327,-0.40704,0.1
1767887880,2026-01-08T15:58:00,V2,DISC,cont,1,-7.9082,-1.0095,0,12.6,0.2376,0.14209,24.86825,31.08571,9.78314,113.745,58.985,53.03,373.64973,1594.55136,5558.34479,7.6751,6.28399,5.37338,0.21872,0.05276,0.01266,-0.06964,11,33,2.0,96.0,52.0,0.6,0.55,0.5,-0.01839,-0.10985,-0.10924,-0.11247,-0.12974,-0.09327,-0.40704,0.1
1767891540,2026-01-08T16:59:00,V2,DISC,cont,1,10.5747,0.8,1,12.6,0.23626,0.16515,41.96349,52.45397,8.39757,92.1,69.875,53.33,352.60781,1752.58137,5617.62199,7.33368,6.72217,5.45151,0.05552,0.03467,0.00654,-0.10306,11,34,2.09091,96.0,113.0,0.6,0.55,0.5,-0.01839,-0.10985,-0.10924,-0.11247,-0.15607,-0.15462,-0.42377,0.1
1767910380,2026-01-08T22:13:00,V2,DISC,cont,1,-5.6876,-1.0052,0,12.6,0.23789,0.24175,17.9619,22.45238,5.70427,41.945,57.255,52.965,188.42114,1472.29253,5564.47544,4.52702,5.3411,5.41126,0.17749,0.05202,0.00902,0.02507,10,36,2.6,96.0,35.0,0.5,0.55,0.48,-0.01806,-0.14569,-0.10924,-0.10793,-0.08515,-0.10342,-0.32924,0.15
1767911940,2026-01-08T22:39:00,V2,DISC,flip,-1,-2.6126,-1.0291,0,12.6,0.23753,0.21751,8.05952,10.0746,6.36569,42.075,55.56,53.045,194.66095,1413.00997,5606.16964,4.63337,5.11041,5.41868,0.11417,0.04873,0.00069,0.0195,11,36,2.27273,96.0,0.0,0.5,0.55,0.48,-0.01806,-0.14569,-0.10924,-0.10793,-0.04124,-0.05535,-0.20995,0.15
1767913140,2026-01-08T22:59:00,V2,DISC,flip,1,-2.6546,-1.0454,0,12.6,0.23816,0.47905,8.0619,10.07698,2.88498,40.43,53.535,52.905,201.92422,1358.49164,5578.76852,4.87034,4.91822,5.41006,0.01283,0.02563,0.00158,-0.00836,12,37,2.08333,96.0,0.0,0.5,0.55,0.48,-0.01806,-0.14569,-0.10924,-0.10793,-0.05943,-0.09079,-0.2645,0.15
